Avocat D'une femme battue | r_social_tie  
Chef DU groupe | r_social_tie  
Médecin DU patient | r_social_tie  
Enseignant DES élèves | r_social_tie  
Parent D'un enfant | r_social_tie  
Ami DE l'ami | r_social_tie  
Patron DE l'employé | r_social_tie  
Capitaine DE l'équipe | r_social_tie  
Avocat DU prévenu | r_social_tie  
Mentor DU stagiaire | r_social_tie  
Infirmier DU malade | r_social_tie  
Leader DU mouvement | r_social_tie  
Frère DE la sœur | r_social_tie  
Mère DU bébé | r_social_tie  
Coach DES athlètes | r_social_tie  
Directeur DE l'entreprise | r_social_tie  
Avocat DE l'accusé | r_social_tie  
Conseiller DU client | r_social_tie  
Juge DE l'audience | r_social_tie  
Capitaine DU navire | r_social_tie  
Professeur DES étudiants | r_social_tie  
Manager DU projet | r_social_tie  
Tuteur DU mineur | r_social_tie  
Époux DE l'épouse | r_social_tie  
Guide DU touriste | r_social_tie  
Médecin DE famille | r_social_tie  
Prêtre DE la paroisse | r_social_tie  
Ami DU voisin | r_social_tie  
Superviseur DES ouvriers | r_social_tie  
Entraîneur DU joueur | r_social_tie  
Président DU comité | r_social_tie  
Avocat DU plaignant | r_social_tie  
Mentor DE l'apprenti | r_social_tie  
Infirmière DU patient | r_social_tie  
Leader DE l'équipe | r_social_tie  
Sœur DU frère | r_social_tie  
Père DE l'enfant | r_social_tie  
Coach DU coureur | r_social_tie  
Directeur DU département | r_social_tie  
Avocat DE la victime | r_social_tie  
Conseiller DU président | r_social_tie  
Juge DU tribunal | r_social_tie  
Capitaine DE l'avion | r_social_tie  
Professeur DE l'école | r_social_tie  
Manager DE l'équipe | r_social_tie  
Tuteur DE l'étudiant | r_social_tie  
Épouse DU mari | r_social_tie  
Guide DES randonneurs | r_social_tie  
Médecin DU village | r_social_tie  
Prêtre DU diocèse | r_social_tie  
Ami DE l'ami d'enfance | r_social_tie  
Superviseur DU chantier | r_social_tie  
Entraîneur DE l'équipe | r_social_tie  
Président DE l'association | r_social_tie  
Avocat DU justiciable | r_social_tie  
Mentor DU jeune | r_social_tie  
Infirmier DE l'hôpital | r_social_tie  
Leader DU parti | r_social_tie  
Frère DU cadet | r_social_tie  
Mère DE l'adolescent | r_social_tie  
Coach DU gymnaste | r_social_tie  
Directeur DE l'école | r_social_tie  
Avocat DE l'entreprise | r_social_tie  
Conseiller DU maire | r_social_tie  
Juge DE la cour | r_social_tie  
Capitaine DU bateau | r_social_tie  
Professeur DE l'université | r_social_tie  
Manager DU magasin | r_social_tie  
Tuteur DU lycéen | r_social_tie  
Époux DE la femme | r_social_tie  
Guide DU groupe | r_social_tie  
Médecin DE l'enfant | r_social_tie  
Prêtre DE l'église | r_social_tie  
Ami DU collègue | r_social_tie  
Superviseur DE l'atelier | r_social_tie  
Entraîneur DU boxeur | r_social_tie  
Président DU conseil | r_social_tie  
Avocat DU citoyen | r_social_tie  
Mentor DU novice | r_social_tie  
Infirmière DE la clinique | r_social_tie  
Leader DU projet | r_social_tie  
Sœur DE l'aînée | r_social_tie  
Père DU bébé | r_social_tie  
Coach DE l'équipe | r_social_tie  
Directeur DU musée | r_social_tie  
Avocat DU client | r_social_tie  
Conseiller DE l'étudiant | r_social_tie  
Juge DU procès | r_social_tie  
Capitaine DE l'escouade | r_social_tie  
Professeur DU collège | r_social_tie  
Manager DE la boutique | r_social_tie  
Tuteur DE l'apprenant | r_social_tie  
Épouse DU conjoint | r_social_tie  
Guide DES visiteurs | r_social_tie  
Médecin DE l'adulte | r_social_tie  
Prêtre DU monastère | r_social_tie  
Ami DU camarade | r_social_tie  
Superviseur DE l'équipe | r_social_tie  
Entraîneur DU nageur | r_social_tie
